employee_id,uwes_1,uwes_2,uwes_3,uwes_4,uwes_5,uwes_6,uwes_7,uwes_8,uwes_9,pls_1,pls_2,pls_3,pls_4,pls_5,pls_6,pls_7,lmx_1,lmx_2,lmx_3,lmx_4,lmx_5,lmx_6,lmx_7
EMP0269,4,5,3,4,4,4,5,5,4,3,2,4,4,4,3,3,4,4,4,4,3,4,4
EMP0490,4,4,5,5,6,4,5,4,5,5,4,3,4,5,5,4,3,2,4,4,4,4,4
EMP0048,2,4,5,4,3,3,4,4,3,5,5,4,5,5,4,5,3,4,3,3,3,3,4
EMP0079,5,4,5,4,4,4,5,6,5,3,3,3,3,4,3,3,4,5,4,5,5,4,4
EMP0137,2,3,3,2,2,2,3,3,3,5,4,4,4,5,5,5,3,4,4,4,3,3,3
EMP0419,4,3,3,5,3,4,4,5,4,4,4,4,3,5,4,4,3,2,4,3,2,2,2
EMP0437,4,5,4,5,4,4,2,5,5,1,2,1,2,3,2,2,4,3,4,5,4,5,5
EMP0488,4,5,3,4,4,4,5,3,3,4,2,3,3,4,3,3,2,1,3,2,2,3,3
EMP0144,2,4,4,3,2,4,5,5,1,5,5,4,4,4,4,4,4,3,4,3,4,4,3
EMP0277,6,5,6,4,6,5,6,6,4,2,2,3,1,2,2,3,3,3,2,3,3,3,2
EMP0307,4,3,2,1,2,3,2,2,4,4,5,5,5,5,4,5,3,4,3,3,5,3,5
EMP0268,3,2,3,2,1,4,4,4,4,3,5,3,4,3,4,3,4,3,4,3,2,3,3
EMP0152,5,5,4,5,6,4,5,4,5,4,3,4,3,3,3,3,4,4,4,3,3,3,4
EMP0051,3,4,1,2,0,1,4,3,2,4,4,5,3,3,3,4,3,3,4,3,3,3,3
EMP0351,6,6,4,5,6,4,6,4,6,3,3,3,2,3,3,4,4,4,4,4,3,4,4
EMP0398,3,4,5,4,4,5,3,3,4,3,5,5,5,5,4,4,2,2,3,3,2,2,2
EMP0018,5,3,4,4,6,3,4,5,3,4,4,4,3,3,4,4,4,4,3,3,4,4,4
EMP0069,3,3,5,5,4,4,5,3,5,4,3,3,3,3,3,4,3,3,3,2,2,3,3
EMP0245,0,0,0,0,0,0,1,0,1,2,2,2,1,1,1,2,4,5,5,5,4,4,4
EMP0081,5,4,4,3,4,3,4,4,3,4,4,5,5,4,5,4,5,5,5,5,4,5,5
EMP0350,2,2,2,3,3,2,3,2,2,4,3,4,3,5,4,3,4,4,3,3,4,3,4
EMP0394,1,3,1,3,4,2,1,3,3,3,3,3,3,4,3,3,4,5,5,5,4,4,5
EMP0131,3,5,3,3,3,4,5,4,3,5,5,5,5,5,3,5,3,3,3,3,3,3,3
EMP0434,5,4,4,6,5,4,5,4,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5
EMP0197,6,5,4,4,2,4,5,6,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2
EMP0379,5,6,6,6,5,5,5,6,5,5,4,5,5,5,5,5,3,3,4,3,4,3,3
EMP0195,2,5,3,3,4,2,3,2,3,3,3,1,3,3,3,3,5,5,5,4,4,5,4
EMP0196,4,4,4,4,3,3,3,3,2,4,3,4,3,4,3,3,4,4,3,5,4,4,5
EMP0483,4,5,4,3,3,3,3,4,2,3,3,4,3,4,4,3,4,4,4,4,4,4,5
EMP0434,6,6,5,5,6,6,6,6,6,3,3,4,2,4,3,3,3,2,3,3,3,2,3
EMP0384,4,4,3,4,3,4,3,5,3,5,5,5,5,5,5,5,3,3,4,4,4,4,4
EMP0073,5,4,5,4,5,6,4,5,5,5,5,5,5,5,5,5,3,2,3,2,3,3,2
EMP0181,4,3,3,5,4,3,3,2,3,3,2,4,3,3,2,4,2,2,2,2,2,2,2
EMP0260,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,5,3,3,3,2,4,3,3
EMP0440,6,6,5,6,6,6,6,5,5,4,2,3,3,2,1,2,3,4,4,3,3,3,4
EMP0305,4,4,3,4,6,3,6,4,4,2,2,3,1,2,2,4,3,4,4,3,4,3,4
